三包流水号,总部制造发运时间,总部审核处置时间,分公司审核提交时间,补充调查时间,分公司现场调查时间,发运时间,全周期统计时间,提出部门,客户名称
MAZ25-4166,1.03,0.24,0,0,,2025/12/16 16:00,1.27,河南分公司,中建八局（山东）供应链科技有限公司
MBY25-3912,5.31,0.75,0,0,,2025/12/4 16:00,6.06,泉州分公司,泉州市荣誉实业投资有限公司
MAZ25-4094,4,0.04,0,0,,2025/12/12 16:00,4.04,浙江分公司,浙江嘉菱电梯有限公司
MAZ25-4139,1.01,0.05,0,0,,2025/12/12 16:00,1.06,浙江分公司,浙江省建工集团有限责任公司
MBY25-3939,1.06,0.05,0,0,,2025/12/1 16:00,1.11,浙江分公司,微医云智（杭州）实业有限公司
MAZ25-4092,4,0.06,0,0,,2025/12/12 16:00,4.06,浙江分公司,杭州元奥电梯有限公司
MAZ25-4093,4,0.06,0,0,,2025/12/12 16:00,4.06,浙江分公司,浙江嘉菱电梯有限公司
MAZ25-4149,0.14,0.07,0,0,0.62,2025/12/12 16:00,0.83,浙江分公司,浙江宝业供应链管理有限公司
MBY25-4255,2.22,0.07,0,0,,2025/12/25 16:00,2.29,浙江分公司,杭州友孚机电设备有限公司
MAZ25-4091,4,0.07,0,0,,2025/12/12 16:00,4.07,浙江分公司,杭州市上城区天运花园第六届业主委员
MAZ25-4009,4,0.08,0,0,,2025/12/9 16:00,4.08,浙江分公司,微医云智（杭州）实业有限公司
MAZ25-4103,2.19,0.09,0,0,,2025/12/11 16:00,2.28,浙江分公司,浙江宝业供应链管理有限公司
MAZ25-4081,1.04,0.17,0,0,,2025/12/9 16:00,1.21,浙江分公司,杭州海威奥城置业有限公司
MAZ25-4085,1,0.2,0,0,,2025/12/9 16:00,1.2,浙江分公司,杭州海威奥城置业有限公司
MAZ25-3952,6.08,0.2,0,0,,2025/12/9 16:00,6.28,浙江分公司,杭州众安电梯有限公司
MAZ25-4214,4.05,0.23,0,0,,2025/12/24 16:00,4.28,浙江分公司,杭州绿城房地产开发有限公司
MBY25-4129,4.01,0.28,0,0,,2025/12/17 16:00,4.29,浙江分公司,杭州冠泰机电设备有限公司
MAZ25-4051,4.32,0.74,0,0,,2025/12/12 16:00,5.06,浙江分公司,杭州众安电梯有限公司
MAZ25-4048,4.32,0.75,0,0,,2025/12/12 16:00,5.07,浙江分公司,杭州绿园房地产开发有限公司
MAZ25-4090,0.33,0.76,0,0,,2025/12/9 16:00,1.09,浙江分公司,浙江省建工集团有限责任公司
