三包流水号,总部制造发运时间,总部审核处置时间,分公司审核提交时间,补充调查时间,分公司现场调查时间,发运时间,全周期统计时间,提出部门,客户名称,类型
MAZ25-3586,2.99,0.05,1.02,2.06,,2025/11/11 16:00,6.12,江苏分公司,江苏海菱机电设备工程有限公司,基板
MAZ25-3451,6.31,1.76,0.03,0,,2025/11/4 16:00,8.1,沧州分公司,廊坊市慧达电梯工程有限公司,#N/A
MBY25-3577,2.07,0.21,0,0,,2025/11/5 16:00,2.28,河北分公司,河北安迅电梯设备有限公司,#N/A
MBY25-3393,4.06,0.06,0.96,9.19,,2025/11/10 16:00,14.27,河北分公司,河北安迅电梯设备有限公司,非基板
MAZ25-3261,9.27,0.01,0,1.97,,2025/10/28 16:00,11.25,河南分公司,海马（郑州）商务会馆有限公司,#N/A
MAZ25-3798,4.01,0.03,0,0,,2025/11/24 16:00,4.04,河南分公司,中建八局（山东）供应链科技有限公司,非基板
MAZ25-3568,8.2,1.79,0,0,,2025/11/14 16:00,9.99,河南分公司,海马（郑州）商务会馆有限公司,非基板
MAZ25-3437,3.22,0.09,0.63,0,,2025/10/29 16:00,3.94,泉州分公司,福州冠菱电梯有限公司,#N/A
MAZ25-3769,0,0.01,0,0.02,,2025/11/17 16:00,0.03,浙江分公司,杭州绿城房地产开发有限公司,非基板
MAZ25-3527,0.2,0.02,0,0,,2025/10/29 16:00,0.22,浙江分公司,杭州协建电梯工程有限公司,#N/A
MAZ25-3675,5.19,0.02,0,0,,2025/11/17 16:00,5.21,浙江分公司,杭州市上城区天运花园第六届业主委员,非基板
MAZ25-3698,5.26,0.02,0,0,,2025/11/19 16:00,5.28,浙江分公司,杭州丰锐达机电设备有限公司,非基板
MAZ25-3738,3.07,0.03,0,0,,2025/11/19 16:00,3.1,浙江分公司,杭州市上城区天运花园第六届业主委员,非基板
MBY25-3509,1.21,0.05,0,0,,2025/10/29 16:00,1.26,浙江分公司,税友软件集团股份有限公司,#N/A
MAZ25-3726,5,0.08,0,0,,2025/11/20 16:00,5.08,浙江分公司,杭州众安电梯有限公司,非基板
MAZ25-3741,6,0.1,0,0,,2025/11/24 16:00,6.1,浙江分公司,杭州市上城区天运花园第六届业主委员,非基板
MBY25-3664,0.12,0.16,0,0,,2025/11/10 16:00,0.28,浙江分公司,高新兴创联科技股份有限公司,非基板
